ensembl_gene_id,hgnc_symbol,source,team,study,input_data,details
ENSG00000140750,ARHGAP17,AMP-AD,Duke,,"Metabolomics, Genetics, RNA, Protein, Phenomics",
ENSG00000137727,ARHGAP20,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000145819,ARHGAP26,Community,Chang Lab,"ROSMAP, MSBB","Genetics, RNA, Protein",
ENSG00000186517,ARHGAP30,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000111348,ARHGDIB,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000116584,ARHGEF2,TREAT-AD,Emory-Sage-SGC,,"Risk Scores, Pathway Modeling",
ENSG00000150347,ARID5B,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000130429,ARPC1B,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000104763,ASAH1,AMP-AD,Duke,,"Metabolomics, Genetics, RNA, Protein, Phenomics",
ENSG00000153317,ASAP1,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000066279,ASPM,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000152092,ASTN1,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000167654,ATCAY,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000184743,ATL3,AMP-AD,Duke,,"Metabolomics, Genetics, RNA, Protein, Phenomics",
ENSG00000105409,ATP1A3,AMP-AD,Columbia-Rush,ROSMAP,"Protein, Clinical",
ENSG00000143153,ATP1B1,Community,Chang Lab,"ROSMAP, Mayo, Kronos, Rush, MSBB","Genetics, RNA, Protein",
ENSG00000143153,ATP1B1,AMP-AD,Columbia-Rush,ROSMAP,"Protein, Clinical",
ENSG00000069849,ATP1B3,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000174437,ATP2A2,AMP-AD,Columbia-Rush,ROSMAP,"Protein, Clinical",
ENSG00000174437,ATP2A2,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000070961,ATP2B1,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000070961,ATP2B1,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000157087,ATP2B2,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000241837,ATP5PO,Community,Chang Lab,"Rush, MSBB","Genetics, RNA, Protein",
ENSG00000033627,ATP6V0A1,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000159720,ATP6V0D1,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000114573,ATP6V1A,Community,Chang Lab,"Mayo, ROSMAP, Kronos, Rush, MSBB","Genetics, RNA, Protein",
ENSG00000114573,ATP6V1A,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000147416,ATP6V1B2,Community,Chang Lab,"ROSMAP, Rush, MSBB","Genetics, RNA, Protein",
ENSG00000131100,ATP6V1E1,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000250565,ATP6V1E2,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000047249,ATP6V1H,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000156735,BAG4,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000175866,BAIAP2,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000114439,BBX,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000187244,BCAM,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000064787,BCAS1,Community,Chang Lab,MSBB,"Genetics, Protein",
ENSG00000103507,BCKDK,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000171791,BCL2,Community,Chang Lab,ROSMAP,"Genetics, RNA",
ENSG00000164039,BDH2,AMP-AD,Emory,"Banner, ROSMAP, MSBB, Emory",Protein,
ENSG00000164039,BDH2,TREAT-AD,Emory-Sage-SGC,"Banner, ROSMAP, MSBB, Emory",Protein,
ENSG00000176697,BDNF,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000136717,BIN1,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000136717,BIN1,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000136717,BIN1,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000136717,BIN1,TREAT-AD,Emory-Sage-SGC,,"Genetics, RNA, Protein",
ENSG00000135441,BLOC1S1,AMP-AD,ASU,ROSMAP,"Genetics, RNA, Protein",
ENSG00000164619,BMPER,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000198797,BRINP2,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000168000,BSCL2,AMP-AD,Duke,,"Metabolomics, Genetics, RNA, Protein, Phenomics",
ENSG00000164061,BSN,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000189195,BTBD8,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000010671,BTK,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000173372,C1QA,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000173369,C1QB,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000172247,C1QTNF4,AMP-AD,Columbia-Rush,ROSMAP,"Genetics, RNA, Protein, Clinical",
ENSG00000172247,C1QTNF4,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000125730,C3,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000171860,C3AR1,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
